year,month,site_code,product_code,predicted_value
2019,10,C3023,AS42018,3
2019,11,C3023,AS42018,2
2019,12,C3023,AS42018,2
2019,10,C2017,AS42018,0
2019,11,C2017,AS42018,0
2019,12,C2017,AS42018,0
2019,10,C4025,AS42018,0
2019,11,C4025,AS42018,0
2019,12,C4025,AS42018,0
2019,10,C1681,AS42018,0
2019,11,C1681,AS42018,0
2019,12,C1681,AS42018,0
2019,10,C5002,AS42018,0
2019,11,C5002,AS42018,0
2019,12,C5002,AS42018,0
2019,10,C1084,AS42018,10
2019,11,C1084,AS42018,7
2019,12,C1084,AS42018,5
2019,10,C1073,AS42018,0
2019,11,C1073,AS42018,0
2019,12,C1073,AS42018,0
2019,10,C3011,AS42018,0
2019,11,C3011,AS42018,0
2019,12,C3011,AS42018,0
2019,10,C3018,AS42018,0
2019,11,C3018,AS42018,0
2019,12,C3018,AS42018,0
2019,10,C3016,AS42018,0
2019,11,C3016,AS42018,0
2019,12,C3016,AS42018,0
2019,10,C4023,AS42018,0
2019,11,C4023,AS42018,0
2019,12,C4023,AS42018,0
2019,10,C1027,AS42018,0
2019,11,C1027,AS42018,0
2019,12,C1027,AS42018,0
2019,10,C1062,AS42018,0
2019,11,C1062,AS42018,0
2019,12,C1062,AS42018,0
2019,10,C2057,AS42018,0
2019,11,C2057,AS42018,0
2019,12,C2057,AS42018,0
2019,10,C1009,AS42018,0
2019,11,C1009,AS42018,0
2019,12,C1009,AS42018,0
2019,10,C1080,AS42018,0
2019,11,C1080,AS42018,0
2019,12,C1080,AS42018,0
2019,10,C1090,AS42018,0
2019,11,C1090,AS42018,0
2019,12,C1090,AS42018,0
2019,10,C5020,AS42018,0
2019,11,C5020,AS42018,0
2019,12,C5020,AS42018,0
2019,10,C1098,AS42018,0
2019,11,C1098,AS42018,0
2019,12,C1098,AS42018,0
2019,10,C2061,AS42018,0
2019,11,C2061,AS42018,0
2019,12,C2061,AS42018,0
2019,10,C4016,AS42018,0
2019,11,C4016,AS42018,0
2019,12,C4016,AS42018,0
2019,10,C2131,AS42018,0
2019,11,C2131,AS42018,0
2019,12,C2131,AS42018,0
2019,10,C3043,AS42018,0
2019,11,C3043,AS42018,0
2019,12,C3043,AS42018,0
2019,10,C3015,AS42018,0
2019,11,C3015,AS42018,0
2019,12,C3015,AS42018,0
2019,10,C5017,AS42018,0
2019,11,C5017,AS42018,0
2019,12,C5017,AS42018,0
2019,10,C2009,AS42018,0
2019,11,C2009,AS42018,0
2019,12,C2009,AS42018,0
2019,10,C5018,AS42018,0
2019,11,C5018,AS42018,0
2019,12,C5018,AS42018,0
2019,10,C2068,AS42018,0
2019,11,C2068,AS42018,0
2019,12,C2068,AS42018,0
2019,10,C3013,AS42018,0
2019,11,C3013,AS42018,0
2019,12,C3013,AS42018,0
2019,10,C1061,AS42018,0
2019,11,C1061,AS42018,0
2019,12,C1061,AS42018,0
2019,10,C2070,AS42018,0
2019,11,C2070,AS42018,0
2019,12,C2070,AS42018,0
2019,10,C2051,AS42018,0
2019,11,C2051,AS42018,0
2019,12,C2051,AS42018,0
2019,10,C2071,AS42018,0
2019,11,C2071,AS42018,0
2019,12,C2071,AS42018,0
2019,10,C1095,AS42018,0
2019,11,C1095,AS42018,0
2019,12,C1095,AS42018,0
2019,10,C2005,AS42018,0
2019,11,C2005,AS42018,0
2019,12,C2005,AS42018,0
2019,10,C4038,AS42018,0
